r g mean median sd
8 7 0.10488 0 0.14841500130584
8 8 0.08452 0 0.138680935971755
8 9 0.0654 0 0.116125471474286
8 10 0.06264 0 0.123451491164225
8 11 0.05736 0 0.119335121700492
8 12 0.05608 0 0.122086603436818
8 13 0.05188 0 0.116820000481564
8 14 0.04792 0 0.114591469162433
8 15 0.04412 0 0.108308616260925
8 16 0.04264 0 0.111795924472803
8 17 0.04096 0 0.111464356198305
8 18 0.0376 0 0.104546496689129
8 19 0.03624 0 0.102775606177853
8 20 0.0352 0 0.100398405564231
8 21 0.0356 0 0.104481368465178
9 0 0.254949 0.249 0.132477222999328
9 1 0.23328 0.24 0.149761377097268
9 2 0.21424 0.2 0.157930885404232
9 3 0.17176 0.12 0.155520703088332
9 4 0.16212 0.1 0.16679366212697
9 5 0.13368 0.04 0.15722842738633
9 6 0.0904 0 0.137242396785671
9 7 0.07764 0 0.13924158365452
9 8 0.07972 0 0.141576712652772
9 9 0.07732 0 0.143350503895058
9 10 0.07068 0 0.134056363924689
9 11 0.065 0 0.13027344768283
9 12 0.0656 0 0.136317359211593
9 13 0.05568 0 0.12111154199995
9 14 0.04824 0 0.113853700269535
9 15 0.04396 0 0.107855232377253
9 16 0.043 0 0.109433887693784
9 17 0.04136 0 0.109298199877658
9 18 0.0324 0 0.0916091274504469
9 19 0.02884 0 0.0864020816862633
9 20 0.03004 0 0.0930583594216998
9 21 0.02748 0 0.0899429782658954
10 0 0.250872 0.2455 0.128831367054523
10 1 0.21864 0.2 0.150800833191635
10 2 0.18648 0.16 0.158065158065255
10 3 0.1732 0.12 0.159524317920523
10 4 0.14196 0.08 0.157231294849594
10 5 0.11128 0 0.149957490139202
10 6 0.09632 0 0.147930866086632
10 7 0.07684 0 0.13653078427613
10 8 0.07312 0 0.136845139454027
10 9 0.06044 0 0.121675845636722
10 10 0.05256 0 0.117207439968562
10 11 0.05036 0 0.117783459549053
10 12 0.04432 0 0.106639155611387
10 13 0.0372 0 0.0941712707157986
10 14 0.03192 0 0.0875990136199443
10 15 0.0304 0 0.0882112306978041
