r gen percentile mean
2 13 50 0.0020530002760532
2 13 90 0.0260344947954662
2 13 95 0.0683671061530902
2 14 50 0.00205203083053193
2 14 90 0.0276382272686519
2 14 95 0.0710562479928984
2 15 50 0.00200109199055884
2 15 90 0.0256239890306505
2 15 95 0.0697019995122358
2 16 50 0.00198572384960818
2 16 90 0.021835496543582
2 16 95 0.058410100135859
2 17 50 0.00180409643064509
2 17 90 0.0219433145375811
2 17 95 0.0578418320306659
2 18 50 0.00176742773746497
2 18 90 0.0191781112235713
2 18 95 0.0502050952287576
2 19 50 0.0018487384988203
2 19 90 0.0224864103933967
2 19 95 0.0588126582584472
2 20 50 0.00185124194798217
2 20 90 0.0226805796539713
2 20 95 0.0636082477788577
2 21 50 0.00187423483528756
2 21 90 0.0231041298162267
2 21 95 0.0649399660267109
3 0 50 0.0273507791703744
3 0 90 0.135005430694441
3 0 95 0.194269799412761
3 1 50 0.0184057613569764
3 1 90 0.116153137574973
3 1 95 0.17768087365698
3 2 50 0.0117627059760082
3 2 90 0.0930108751756449
3 2 95 0.154143160886485
3 3 50 0.00600254282869902
3 3 90 0.0692882000777412
3 3 95 0.125657395824303
3 4 50 0.00402436112121623
3 4 90 0.0579064134261736
3 4 95 0.114045568712176
3 5 50 0.00337109576093839
3 5 90 0.0522526478974369
3 5 95 0.108869307215124
3 6 50 0.00273715053605888
3 6 90 0.0498243667269082
3 6 95 0.112178967993167
3 7 50 0.00258104946047702
3 7 90 0.0412005761986953
3 7 95 0.0920082939315392
3 8 50 0.00235691176561767
3 8 90 0.0403867999659247
3 8 95 0.0957955209392399
3 9 50 0.00217476586465016
3 9 90 0.0326266558829639
3 9 95 0.0781557854191342
3 10 50 0.00206715414473347
3 10 90 0.0335139144071224
3 10 95 0.0851517688274724
3 11 50 0.00242484345783152
3 11 90 0.0285219346207055
3 11 95 0.0680465964984058
3 12 50 0.00212557644907944
3 12 90 0.0260588913656166
3 12 95 0.0753507633305145
3 13 50 0.00217968659461719
3 13 90 0.0255248328867092
3 13 95 0.0670517872611866
3 14 50 0.00225100699222647
3 14 90 0.0261089498205363
3 14 95 0.0671533009037662
3 15 50 0.00233727115539854
3 15 90 0.0279025743162445
3 15 95 0.0720695487015156
3 16 50 0.0020939812627586
3 16 90 0.0257317508622985
3 16 95 0.0680178803466437
3 17 50 0.00196122949304857
3 17 90 0.0214106193058856
3 17 95 0.059350851680813
3 18 50 0.00206886982086472
3 18 90 0.02431413116128
3 18 95 0.0606812168016288
3 19 50 0.00193383309021866
3 19 90 0.0203907092862296
3 19 95 0.0489468866863116
3 20 50 0.00186782669151139
3 20 90 0.0189179790034659
3 20 95 0.0508857779080592
3 21 50 0.0019405596400537
3 21 90 0.0202784184043273
3 21 95 0.0499094265213406
4 0 50 0.0282167075051502
4 0 90 0.139393455976501
4 0 95 0.198485454082858
4 1 50 0.0187690899921966
4 1 90 0.112675489987713
4 1 95 0.167316923672115
4 2 50 0.0106044479287847
4 2 90 0.0989743510842069
4 2 95 0.171833497213058
4 3 50 0.00540979899488809
4 3 90 0.0854754347046907
4 3 95 0.159038963358622
4 4 50 0.00342417553804285
4 4 90 0.0681337252489307
4 4 95 0.13789337756808
4 5 50 0.00326559100671781
4 5 90 0.0594233361289749
4 5 95 0.121946778821235
4 6 50 0.00249902281148391
4 6 90 0.0466348862769935
4 6 95 0.110310108191542
4 7 50 0.00239892926922424
4 7 90 0.0418981488429339
4 7 95 0.099670792790022
4 8 50 0.0022588408952452
4 8 90 0.037251228073198
4 8 95 0.104389792993432
4 9 50 0.0021528119011565
4 9 90 0.0368804667175068
4 9 95 0.0977589866171684
4 10 50 0.00203586255252018
4 10 90 0.0331827457896723
4 10 95 0.0851914801053953
4 11 50 0.0021980159365244
4 11 90 0.0290784138873438
4 11 95 0.0763571598855765
4 12 50 0.00225578600428331
4 12 90 0.0347816820329508
4 12 95 0.0890907360881923
4 13 50 0.00222179955108633
4 13 90 0.0292738137709194
4 13 95 0.0872419704029708
4 14 50 0.00224929336409919
4 14 90 0.0311764676068437
4 14 95 0.0841075390861379
4 15 50 0.00220513462858645
4 15 90 0.0272698254760142
4 15 95 0.0802682625881164
4 16 50 0.00224202803314584
4 16 90 0.0314963082177098
4 16 95 0.088374605361862
4 17 50 0.00221561998960806
4 17 90 0.0302391094161894
4 17 95 0.0810601655021103
4 18 50 0.00219465245808332
4 18 90 0.0281275390304688
4 18 95 0.0761142470887244
4 19 50 0.00201887422719081
4 19 90 0.0228059302874589
4 19 95 0.0576619654878023
4 20 50 0.00204636535971316
4 20 90 0.0229612301993763
4 20 95 0.0564373045634564
4 21 50 0.001857925420916
4 21 90 0.0224520348421629
4 21 95 0.0661724173672347
5 0 50 0.0289984104209852
5 0 90 0.149501840085835
5 0 95 0.21355465516799
5 1 50 0.0164291378701026
5 1 90 0.113886453379363
5 1 95 0.187514225316862
5 2 50 0.00915876532976372
5 2 90 0.0982689709465291
5 2 95 0.18847083272064
5 3 50 0.00539153847056849
5 3 90 0.0821215879061046
5 3 95 0.16016479070894
5 4 50 0.0035216282850987
5 4 90 0.0602433951349396
5 4 95 0.123763678525005
5 5 50 0.00291043367997066
5 5 90 0.057250970460731
5 5 95 0.139826695507268
5 6 50 0.00233969967427092
5 6 90 0.0405961113645265
5 6 95 0.0976782314343544
5 7 50 0.00237240315164618
5 7 90 0.0468527210578717
5 7 95 0.129460712907765
5 8 50 0.0022625088620714
5 8 90 0.0434273447092852
5 8 95 0.108085925967781
