r gen percentile mean
2 13 50 0.123375066510333
2 13 90 0.566060249712996
2 13 95 0.650960213760978
2 14 50 0.268369042009887
2 14 90 0.744490721323068
2 14 95 0.842546298282265
2 15 50 0.281771145306362
2 15 90 0.787521341897008
2 15 95 0.824052533979287
2 16 50 0.230164952899098
2 16 90 0.731400794276734
2 16 95 0.807747932935903
2 17 50 0.426562766366555
2 17 90 0.826277908926033
2 17 95 0.867191537682267
2 18 50 NA
2 18 90 NA
2 18 95 NA
2 19 50 NA
2 19 90 NA
2 19 95 NA
2 20 50 NA
2 20 90 NA
2 20 95 NA
2 21 50 NA
2 21 90 NA
2 21 95 NA
3 0 50 0.0265049331706305
3 0 90 0.123269985625582
3 0 95 0.181005759387554
3 1 50 0.0439353854921064
3 1 90 0.273410277335772
3 1 95 0.429409103924468
3 2 50 0.045603112757712
3 2 90 0.356382393167404
3 2 95 0.532380958902883
3 3 50 0.057439828100082
3 3 90 0.515130996891486
3 3 95 0.77376647844199
3 4 50 0.0580659945564374
3 4 90 0.523859214044277
3 4 95 0.790474775263063
3 5 50 0.0583509072214051
3 5 90 0.488661273145864
3 5 95 0.777864393538429
3 6 50 0.0708876047164323
3 6 90 0.61445893603824
3 6 95 0.877795863469758
3 7 50 0.0593337574405409
3 7 90 0.539703964868012
3 7 95 0.907806588433707
3 8 50 0.0681147208395436
3 8 90 0.608369178846784
3 8 95 0.878425273141942
3 9 50 0.0646669643278513
3 9 90 0.711964612399984
3 9 95 0.85003358817003
3 10 50 0.0568691979180016
3 10 90 0.752967054081185
3 10 95 0.848044882941005
3 11 50 0.0957236724363441
3 11 90 0.699736522978121
3 11 95 0.809254061760937
3 12 50 0.0979942752940675
3 12 90 0.774023735674551
3 12 95 0.864084491394274
3 13 50 0.122212138230445
3 13 90 0.605463794531329
3 13 95 0.731541645174843
3 14 50 0.145389490308934
3 14 90 0.64763480225355
3 14 95 0.707299597884348
3 15 50 0.194646132159277
3 15 90 0.528770381662292
3 15 95 0.58547178934615
3 16 50 0.340571700725302
3 16 90 0.587231973919991
3 16 95 0.638264884258349
3 17 50 0.342796133765137
3 17 90 0.739663381707353
3 17 95 0.779447736345947
3 18 50 NA
3 18 90 NA
3 18 95 NA
3 19 50 NA
3 19 90 NA
3 19 95 NA
3 20 50 NA
3 20 90 NA
3 20 95 NA
3 21 50 NA
3 21 90 NA
3 21 95 NA
4 0 50 0.0267093873999839
4 0 90 0.124006036727795
4 0 95 0.174919857666898
4 1 50 0.0458217870628272
4 1 90 0.257288698236627
4 1 95 0.39176781467245
4 2 50 0.0510226307789069
4 2 90 0.291913712178429
4 2 95 0.436751611843839
4 3 50 0.0541016774518327
4 3 90 0.360480491339168
4 3 95 0.522855070713127
4 4 50 0.0553467702035016
4 4 90 0.370767882371039
4 4 95 0.557373903485426
4 5 50 0.0534138004263526
4 5 90 0.378350543433748
4 5 95 0.576948499237676
4 6 50 0.0496522303088751
4 6 90 0.508792636350547
4 6 95 0.795799146995419
4 7 50 0.0527783739620677
4 7 90 0.393819256276552
4 7 95 0.712229371630977
4 8 50 0.0533215924160617
4 8 90 0.483757526602539
4 8 95 0.672445349359775
4 9 50 0.0435411135119134
4 9 90 0.44956465266168
4 9 95 0.759060198894094
4 10 50 0.0475460772190198
4 10 90 0.418660767952784
4 10 95 0.672997819570839
4 11 50 0.0573788638334769
4 11 90 0.552818403667589
4 11 95 0.783946816130074
4 12 50 0.0645779021590874
4 12 90 0.42214706277082
4 12 95 0.660218248591995
4 13 50 0.0669644678253094
4 13 90 0.510455200846423
4 13 95 0.769749669116122
4 14 50 0.0617799952431874
4 14 90 0.494870211182243
4 14 95 0.696701800129246
4 15 50 0.0620980415658454
4 15 90 0.469016350212507
4 15 95 0.734078823760519
4 16 50 0.0655996666776318
4 16 90 0.455385440897981
4 16 95 0.655745424298771
4 17 50 0.0606824536412897
4 17 90 0.537114925617049
4 17 95 0.730769923144843
4 18 50 0.0995508998526102
4 18 90 0.488025743418557
4 18 95 0.665111116275984
4 19 50 0.0922177277131177
4 19 90 0.425934984893247
4 19 95 0.645199492897279
4 20 50 0.0696549901497363
4 20 90 0.509109026851853
4 20 95 0.685605987770331
4 21 50 0.0897114767682371
4 21 90 0.533253329926958
4 21 95 0.674854968700095
5 0 50 0.0275393449486561
5 0 90 0.130177599571068
5 0 95 0.188108504725933
5 1 50 0.0374804067149067
5 1 90 0.219634115858437
5 1 95 0.326113352081717
5 2 50 0.0483694029935954
5 2 90 0.303580615351841
5 2 95 0.44924022460602
5 3 50 0.0498977749186847
5 3 90 0.406717099943427
5 3 95 0.605906595148441
5 4 50 0.0505947710912148
5 4 90 0.376656244831789
5 4 95 0.569704448937797
5 5 50 0.0440193591347431
5 5 90 0.346192456349845
5 5 95 0.549209685142696
5 6 50 0.0548217200287623
5 6 90 0.420028585692013
5 6 95 0.669755175084459
5 7 50 0.0502567459266159
5 7 90 0.49636386095884
5 7 95 0.794422120440068
5 8 50 0.0579487701032722
5 8 90 0.434238731715005
5 8 95 0.787639845870181
5 9 50 0.0612807957620096
5 9 90 0.509226088831135
5 9 95 0.731358098245886
5 10 50 0.0645418938643158
5 10 90 0.650193445419759
5 10 95 0.87048514386165
5 11 50 0.116642431376287
5 11 90 0.834816906862789
5 11 95 0.948104636591479
5 12 50 0.201975981650201
5 12 90 0.641618548399768
5 12 95 0.759442997433354
5 13 50 0.117888328860532
5 13 90 0.670378082062865
5 13 95 0.802012029414775
5 14 50 0.0972656137174763
5 14 90 0.696977088370193
5 14 95 0.810062950185275
5 15 50 0.243570791178384
5 15 90 0.537253800988117
5 15 95 0.602825601904447
5 16 50 0.0554740908601203
5 16 90 0.452841559434658
5 16 95 0.608986131032681
5 17 50 NA
5 17 90 NA
5 17 95 NA
5 18 50 0.427373337078667
5 18 90 0.745222949157648
5 18 95 0.825116198140095
5 19 50 NA
5 19 90 NA
5 19 95 NA
5 20 50 0.218985781118014
5 20 90 0.647920992913229
5 20 95 0.696362069751045
5 21 50 0.325232964878222
5 21 90 0.518420098625544
5 21 95 0.563065455284882
6 0 50 0.0264323313066479
6 0 90 0.123441967972149
6 0 95 0.179613661392197
6 1 50 0.044370620361729
6 1 90 0.282454681022086
6 1 95 0.427620590428308
6 2 50 0.0511899642586814
